file_idx,file_name,selfIntersections,triangles
0,200008_lh.pial_converted.stl,1414,257072
1,200109_lh.pial_converted.stl,1265,280218
2,200210_lh.pial_converted.stl,1101,332922
3,200311_lh.pial_converted.stl,562,269718
4,200614_lh.pial_converted.stl,1122,270024
5,200917_lh.pial_converted.stl,844,283558
6,201111_lh.pial_converted.stl,1254,286562
7,201414_lh.pial_converted.stl,519,253966
8,201515_lh.pial_converted.stl,871,287410
9,201717_lh.pial_converted.stl,1996,304088
11,202113_lh.pial_converted.stl,619,290908
12,202719_lh.pial_converted.stl,893,283920
13,203418_lh.pial_converted.stl,675,261780
14,203721_lh.pial_converted.stl,1150,247896
15,203923_lh.pial_converted.stl,1152,293748
16,204016_lh.pial_converted.stl,890,281946
17,204319_lh.pial_converted.stl,968,303108
18,204420_lh.pial_converted.stl,539,232052
20,204622_lh.pial_converted.stl,718,289010
21,205119_lh.pial_converted.stl,890,300802
22,205220_lh.pial_converted.stl,754,250100
23,205725_lh.pial_converted.stl,578,220872
24,205826_lh.pial_converted.stl,884,284782
25,206222_lh.pial_converted.stl,699,298724
26,207123_lh.pial_converted.stl,932,322656
27,207426_lh.pial_converted.stl,1418,264856
28,207628_lh.pial_converted.stl,1821,314574
29,208024_lh.pial_converted.stl,708,234564
30,208125_lh.pial_converted.stl,716,280040
31,208226_lh.pial_converted.stl,597,259250
32,208327_lh.pial_converted.stl,604,333692
33,208428_lh.pial_converted.stl,871,216048
34,209127_lh.pial_converted.stl,893,256598
35,209228_lh.pial_converted.stl,1093,279466
36,209329_lh.pial_converted.stl,558,239390
37,209834_lh.pial_converted.stl,874,246156
38,209935_lh.pial_converted.stl,573,282130
39,210011_lh.pial_converted.stl,660,294508
40,210415_lh.pial_converted.stl,779,233978
41,210617_lh.pial_converted.stl,857,286524
42,211114_lh.pial_converted.stl,1649,281144
43,211215_lh.pial_converted.stl,560,322260
44,211316_lh.pial_converted.stl,491,229152
45,211417_lh.pial_converted.stl,972,270632
46,211720_lh.pial_converted.stl,696,323048
47,211922_lh.pial_converted.stl,1097,267392
48,212015_lh.pial_converted.stl,1202,298168
49,212116_lh.pial_converted.stl,636,260142
50,212217_lh.pial_converted.stl,961,253706
51,212318_lh.pial_converted.stl,597,247812
52,212419_lh.pial_converted.stl,1108,270562
53,212823_lh.pial_converted.stl,632,287228
54,213421_lh.pial_converted.stl,900,292928
55,214019_lh.pial_converted.stl,645,243902
56,214221_lh.pial_converted.stl,966,252660
57,214423_lh.pial_converted.stl,1596,342284
58,214524_lh.pial_converted.stl,636,285906
59,214625_lh.pial_converted.stl,1039,281894
60,214726_lh.pial_converted.stl,535,275344
61,217126_lh.pial_converted.stl,659,270032
62,217429_lh.pial_converted.stl,616,253632
63,220721_lh.pial_converted.stl,680,288338
64,221218_lh.pial_converted.stl,1694,254068
65,221319_lh.pial_converted.stl,1012,246444
67,224022_lh.pial_converted.stl,374,232388
68,227432_lh.pial_converted.stl,414,276134
69,228434_lh.pial_converted.stl,334,241266
70,231928_lh.pial_converted.stl,666,256634
71,233326_lh.pial_converted.stl,1309,302036
72,236130_lh.pial_converted.stl,1168,271802
73,237334_lh.pial_converted.stl,458,252766
74,239944_lh.pial_converted.stl,880,281074
75,245333_lh.pial_converted.stl,1230,248286
76,246133_lh.pial_converted.stl,1173,250494
77,248339_lh.pial_converted.stl,534,286984
78,249947_lh.pial_converted.stl,746,259824
79,250427_lh.pial_converted.stl,379,244994
80,250932_lh.pial_converted.stl,652,250412
81,251833_lh.pial_converted.stl,1069,308370
82,255639_lh.pial_converted.stl,340,243160
83,256540_lh.pial_converted.stl,641,260318
84,257542_lh.pial_converted.stl,1088,275570
85,257845_lh.pial_converted.stl,354,290406
86,263436_lh.pial_converted.stl,1066,290236
87,268749_lh.pial_converted.stl,1313,324934
88,268850_lh.pial_converted.stl,1077,273890
89,270332_lh.pial_converted.stl,1009,354860
90,275645_lh.pial_converted.stl,943,253366
91,280739_lh.pial_converted.stl,696,250876
92,280941_lh.pial_converted.stl,969,278120
93,283543_lh.pial_converted.stl,630,281496
94,284646_lh.pial_converted.stl,1119,277420
95,285345_lh.pial_converted.stl,753,253974
96,285446_lh.pial_converted.stl,939,297004
97,286650_lh.pial_converted.stl,741,297450
98,287248_lh.pial_converted.stl,1414,294472
99,289555_lh.pial_converted.stl,659,224130
100,290136_lh.pial_converted.stl,867,294176
101,293748_lh.pial_converted.stl,690,227090
102,295146_lh.pial_converted.stl,677,257788
103,297655_lh.pial_converted.stl,702,224816
104,298051_lh.pial_converted.stl,1046,307394
105,298455_lh.pial_converted.stl,703,281764
106,299154_lh.pial_converted.stl,934,303706
