project,file_path,subject_id,hemisphere,surface_type,bounding_box_volume,number of standard deviations from mean,group_mean,group_stdev,stl_file_path
cortexode,./cortexode_200008_mw_lh_pial.ply,200008,lh,pial,137643.19258083455,-0.4138645646305644,149360.01579682957,28310.766896542635,cortexode_200008_C_mwrm_lh_pial.stl
cortexode,./cortexode_200008_mw_rh_pial.ply,200008,rh,pial,142934.5430514549,-0.6663342322454467,157119.222480024,21287.634256413407,cortexode_200008_C_mwrm_rh_pial.stl
cortexode,./cortexode_200008_mw_lh_white.ply,200008,lh,white,131370.421917145,-0.4626718704433856,143370.00074576464,25935.397406201217,cortexode_200008_C_mwrm_lh_white.stl
cortexode,./cortexode_200008_mw_rh_white.ply,200008,rh,white,139771.1940298618,-0.44163043788822803,148334.44826694738,19390.090678606826,cortexode_200008_C_mwrm_rh_white.stl
cortexode,./cortexode_202719_mw_rh_white.ply,202719,rh,white,152103.6160173153,0.1943862879675165,148334.44826694738,19390.090678606826,cortexode_202719_C_mwrm_rh_white.stl
cortexode,./cortexode_203721_mw_rh_white.ply,203721,rh,white,131390.89713792907,-0.8738252651758974,148334.44826694738,19390.090678606826,cortexode_203721_C_mwrm_rh_white.stl
cortexode,./cortexode_202113_mw_rh_white.ply,202113,rh,white,150181.4465722368,0.09525475336364597,148334.44826694738,19390.090678606826,cortexode_202113_C_mwrm_rh_white.stl
cortexode,./cortexode_203418_mw_rh_white.ply,203418,rh,white,150271.2356379621,0.09988542101825118,148334.44826694738,19390.090678606826,cortexode_203418_C_mwrm_rh_white.stl
cortexode,./cortexode_208428_mw_rh_white.ply,208428,rh,white,130298.4494935084,-0.9301657775813388,148334.44826694738,19390.090678606826,cortexode_208428_C_mwrm_rh_white.stl
cortexode,./cortexode_209329_mw_rh_white.ply,209329,rh,white,143428.75827871126,-0.2529998476824344,148334.44826694738,19390.090678606826,cortexode_209329_C_mwrm_rh_white.stl
cortexode,./cortexode_209127_mw_rh_white.ply,209127,rh,white,153497.83600281345,0.26629002522215417,148334.44826694738,19390.090678606826,cortexode_209127_C_mwrm_rh_white.stl
cortexode,./cortexode_209834_mw_rh_white.ply,209834,rh,white,142162.75189475215,-0.318291258895684,148334.44826694738,19390.090678606826,cortexode_209834_C_mwrm_rh_white.stl
cortexode,./cortexode_211316_mw_rh_white.ply,211316,rh,white,121074.74380125113,-1.4058575030684104,148334.44826694738,19390.090678606826,cortexode_211316_C_mwrm_rh_white.stl
cortexode,./cortexode_210415_mw_rh_white.ply,210415,rh,white,126348.66246514748,-1.1338670956323535,148334.44826694738,19390.090678606826,cortexode_210415_C_mwrm_rh_white.stl
cortexode,./cortexode_210617_mw_rh_white.ply,210617,rh,white,151505.74743653787,0.16355257033890003,148334.44826694738,19390.090678606826,cortexode_210617_C_mwrm_rh_white.stl
cortexode,./cortexode_211114_mw_rh_white.ply,211114,rh,white,140023.89431068453,-0.4285979933777167,148334.44826694738,19390.090678606826,cortexode_211114_C_mwrm_rh_white.stl
cortexode,./cortexode_209228_mw_rh_white.ply,209228,rh,white,163711.6176847255,0.7930426769351737,148334.44826694738,19390.090678606826,cortexode_209228_C_mwrm_rh_white.stl
cortexode,./cortexode_209935_mw_rh_white.ply,209935,rh,white,171027.42794606433,1.1703390177620066,148334.44826694738,19390.090678606826,cortexode_209935_C_mwrm_rh_white.stl
cortexode,./cortexode_210011_mw_rh_white.ply,210011,rh,white,150407.27325185927,0.10690125277231656,148334.44826694738,19390.090678606826,cortexode_210011_C_mwrm_rh_white.stl
cortexode,./cortexode_208327_mw_rh_white.ply,208327,rh,white,79248.45189660702,-3.5629537538245373,148334.44826694738,19390.090678606826,cortexode_208327_C_mwrm_rh_white.stl
cortexode,./cortexode_211215_mw_rh_white.ply,211215,rh,white,160543.4642347408,0.6296523399585581,148334.44826694738,19390.090678606826,cortexode_211215_C_mwrm_rh_white.stl
cortexode,./cortexode_204521_mw_rh_white.ply,204521,rh,white,142683.69094841738,-0.29142500734999166,148334.44826694738,19390.090678606826,cortexode_204521_C_mwrm_rh_white.stl
cortexode,./cortexode_204420_mw_rh_white.ply,204420,rh,white,161117.4058388222,0.6592520779687897,148334.44826694738,19390.090678606826,cortexode_204420_C_mwrm_rh_white.stl
cortexode,./cortexode_208226_mw_rh_white.ply,208226,rh,white,152890.61977794912,0.2349742240261199,148334.44826694738,19390.090678606826,cortexode_208226_C_mwrm_rh_white.stl
cortexode,./cortexode_208024_mw_rh_white.ply,208024,rh,white,132888.7298438644,-0.7965779365913084,148334.44826694738,19390.090678606826,cortexode_208024_C_mwrm_rh_white.stl
cortexode,./cortexode_214625_mw_rh_white.ply,214625,rh,white,157074.88341535866,0.45076814200021487,148334.44826694738,19390.090678606826,cortexode_214625_C_mwrm_rh_white.stl
cortexode,./cortexode_214726_mw_rh_white.ply,214726,rh,white,180550.0041339171,1.6614443119914486,148334.44826694738,19390.090678606826,cortexode_214726_C_mwrm_rh_white.stl
cortexode,./cortexode_205220_mw_rh_white.ply,205220,rh,white,139888.22779535412,-0.43559468656389594,148334.44826694738,19390.090678606826,cortexode_205220_C_mwrm_rh_white.stl
cortexode,./cortexode_204622_mw_rh_white.ply,204622,rh,white,146017.32719501204,-0.1195002700266807,148334.44826694738,19390.090678606826,cortexode_204622_C_mwrm_rh_white.stl
cortexode,./cortexode_204016_mw_rh_white.ply,204016,rh,white,132475.7175270212,-0.8178781111850705,148334.44826694738,19390.090678606826,cortexode_204016_C_mwrm_rh_white.stl
cortexode,./cortexode_208125_mw_rh_white.ply,208125,rh,white,140802.79574312366,-0.3884279165405569,148334.44826694738,19390.090678606826,cortexode_208125_C_mwrm_rh_white.stl
cortexode,./cortexode_204319_mw_rh_white.ply,204319,rh,white,131865.98651400206,-0.8493236068831309,148334.44826694738,19390.090678606826,cortexode_204319_C_mwrm_rh_white.stl
cortexode,./cortexode_205119_mw_rh_white.ply,205119,rh,white,172003.68614467132,1.2206873227178,148334.44826694738,19390.090678606826,cortexode_205119_C_mwrm_rh_white.stl
cortexode,./cortexode_212318_mw_rh_white.ply,212318,rh,white,148915.70708898886,0.029977106949932,148334.44826694738,19390.090678606826,cortexode_212318_C_mwrm_rh_white.stl
cortexode,./cortexode_214019_mw_rh_white.ply,214019,rh,white,135944.13748468293,-0.6390022093055365,148334.44826694738,19390.090678606826,cortexode_214019_C_mwrm_rh_white.stl
cortexode,./cortexode_214221_mw_rh_white.ply,214221,rh,white,143125.92417365153,-0.2686178306036724,148334.44826694738,19390.090678606826,cortexode_214221_C_mwrm_rh_white.stl
cortexode,./cortexode_212823_mw_rh_white.ply,212823,rh,white,152762.4808012211,0.22836574659030284,148334.44826694738,19390.090678606826,cortexode_212823_C_mwrm_rh_white.stl
cortexode,./cortexode_212116_mw_rh_white.ply,212116,rh,white,129698.37227959481,-0.9611134004604648,148334.44826694738,19390.090678606826,cortexode_212116_C_mwrm_rh_white.stl
