Project,subject_id,Hemisphere,Intersections White-Pial,Total Triangles White,Total Triangles Pial,File white,File pial
cortexode,208428,lh,0,177697,178542,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/cortexode_euler/cortexode_208428_C_mwrm_lh_white.stl,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/cortexode_euler/cortexode_208428_C_mwrm_lh_pial.stl
cortexode,205725,lh,0,188369,189243,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/cortexode_euler/cortexode_205725_C_mwrm_lh_white.stl,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/cortexode_euler/cortexode_205725_C_mwrm_lh_pial.stl
cortexode,297655,lh,1,185680,187502,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/cortexode_euler/cortexode_297655_C_mwrm_lh_white.stl,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/cortexode_euler/cortexode_297655_C_mwrm_lh_pial.stl
cortexode,289555,lh,3,187089,187976,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/cortexode_euler/cortexode_289555_C_mwrm_lh_white.stl,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/cortexode_euler/cortexode_289555_C_mwrm_lh_pial.stl
cortexode,293748,lh,1067,193748,194972,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/cortexode_euler/cortexode_293748_C_mwrm_lh_white.stl,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/cortexode_euler/cortexode_293748_C_mwrm_lh_pial.stl
cortexode,204420,lh,0,194428,195443,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/cortexode_euler/cortexode_204420_C_mwrm_lh_white.stl,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/cortexode_euler/cortexode_204420_C_mwrm_lh_pial.stl
cortexode,224022,lh,0,193207,194428,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/cortexode_euler/cortexode_224022_C_mwrm_lh_white.stl,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/cortexode_euler/cortexode_224022_C_mwrm_lh_pial.stl
cortexode,211316,lh,978,200598,202189,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/cortexode_euler/cortexode_211316_C_mwrm_lh_white.stl,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/cortexode_euler/cortexode_211316_C_mwrm_lh_pial.stl
cortexode,204521,lh,0,198820,199965,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/cortexode_euler/cortexode_204521_C_mwrm_lh_white.stl,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/cortexode_euler/cortexode_204521_C_mwrm_lh_pial.stl
cortexode,201818,lh,0,204219,205295,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/cortexode_euler/cortexode_201818_C_mwrm_lh_white.stl,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/cortexode_euler/cortexode_201818_C_mwrm_lh_pial.stl
cortexode,208024,lh,0,197547,198879,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/cortexode_euler/cortexode_208024_C_mwrm_lh_white.stl,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/cortexode_euler/cortexode_208024_C_mwrm_lh_pial.stl
cortexode,210415,lh,15,199176,199559,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/cortexode_euler/cortexode_210415_C_mwrm_lh_white.stl,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/cortexode_euler/cortexode_210415_C_mwrm_lh_pial.stl
cortexode,209329,lh,10,204747,205845,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/cortexode_euler/cortexode_209329_C_mwrm_lh_white.stl,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/cortexode_euler/cortexode_209329_C_mwrm_lh_pial.stl
cortexode,209834,lh,0,202155,202784,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/cortexode_euler/cortexode_209834_C_mwrm_lh_white.stl,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/cortexode_euler/cortexode_209834_C_mwrm_lh_pial.stl
