Project,subject_id,Hemisphere,Intersections White-Pial,Total Triangles White,Total Triangles Pial,File white,File pial
corticalflow++,297655,lh,351,678091,679401,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/corticalflow++/corticalflow++_297655_C_mwrm_lh_white.stl,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/corticalflow++/corticalflow++_297655_C_mwrm_lh_pial.stl
corticalflow++,250932,lh,0,680522,683993,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/corticalflow++/corticalflow++_250932_C_mwrm_lh_white.stl,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/corticalflow++/corticalflow++_250932_C_mwrm_lh_pial.stl
corticalflow++,246133,lh,193,681574,682384,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/corticalflow++/corticalflow++_246133_C_mwrm_lh_white.stl,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/corticalflow++/corticalflow++_246133_C_mwrm_lh_pial.stl
corticalflow++,204521,lh,84,682740,681582,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/corticalflow++/corticalflow++_204521_C_mwrm_lh_white.stl,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/corticalflow++/corticalflow++_204521_C_mwrm_lh_pial.stl
corticalflow++,290136,lh,187,687116,688429,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/corticalflow++/corticalflow++_290136_C_mwrm_lh_white.stl,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/corticalflow++/corticalflow++_290136_C_mwrm_lh_pial.stl
corticalflow++,256540,lh,0,682985,683579,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/corticalflow++/corticalflow++_256540_C_mwrm_lh_white.stl,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/corticalflow++/corticalflow++_256540_C_mwrm_lh_pial.stl
corticalflow++,239944,lh,121,687161,685845,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/corticalflow++/corticalflow++_239944_C_mwrm_lh_white.stl,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/corticalflow++/corticalflow++_239944_C_mwrm_lh_pial.stl
corticalflow++,298051,lh,91,689145,689659,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/corticalflow++/corticalflow++_298051_C_mwrm_lh_white.stl,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/corticalflow++/corticalflow++_298051_C_mwrm_lh_pial.stl
corticalflow++,245333,lh,89,682740,682282,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/corticalflow++/corticalflow++_245333_C_mwrm_lh_white.stl,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/corticalflow++/corticalflow++_245333_C_mwrm_lh_pial.stl
corticalflow++,295146,lh,246,685443,687511,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/corticalflow++/corticalflow++_295146_C_mwrm_lh_white.stl,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/corticalflow++/corticalflow++_295146_C_mwrm_lh_pial.stl
corticalflow++,201414,lh,250,685921,684164,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/corticalflow++/corticalflow++_201414_C_mwrm_lh_white.stl,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/corticalflow++/corticalflow++_201414_C_mwrm_lh_pial.stl
corticalflow++,285446,lh,2,684230,683442,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/corticalflow++/corticalflow++_285446_C_mwrm_lh_white.stl,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/corticalflow++/corticalflow++_285446_C_mwrm_lh_pial.stl
corticalflow++,286650,lh,24,680630,686671,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/corticalflow++/corticalflow++_286650_C_mwrm_lh_white.stl,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/corticalflow++/corticalflow++_286650_C_mwrm_lh_pial.stl
corticalflow++,204420,lh,394,678420,682507,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/corticalflow++/corticalflow++_204420_C_mwrm_lh_white.stl,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/corticalflow++/corticalflow++_204420_C_mwrm_lh_pial.stl
corticalflow++,214625,lh,47,687910,690158,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/corticalflow++/corticalflow++_214625_C_mwrm_lh_white.stl,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/corticalflow++/corticalflow++_214625_C_mwrm_lh_pial.stl
corticalflow++,209228,lh,14,682304,679724,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/corticalflow++/corticalflow++_209228_C_mwrm_lh_white.stl,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/corticalflow++/corticalflow++_209228_C_mwrm_lh_pial.stl
corticalflow++,210617,lh,144,678098,679412,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/corticalflow++/corticalflow++_210617_C_mwrm_lh_white.stl,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/corticalflow++/corticalflow++_210617_C_mwrm_lh_pial.stl
corticalflow++,209834,lh,113,682382,684115,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/corticalflow++/corticalflow++_209834_C_mwrm_lh_white.stl,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/corticalflow++/corticalflow++_209834_C_mwrm_lh_pial.stl
corticalflow++,263436,lh,121,686417,686631,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/corticalflow++/corticalflow++_263436_C_mwrm_lh_white.stl,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/corticalflow++/corticalflow++_263436_C_mwrm_lh_pial.stl
