project,file_path,subject_id,hemisphere,surface_type,bounding_box_volume,number of standard deviations from mean,group_mean,group_stdev,stl_file_path
corticalflow,./corticalflow_201717_mw_lh_pial.ply,201717,lh,pial,150394.44139844956,0.036538240217940554,149360.01579682957,28310.76689654264,corticalflow_201717_C_mwrm_lh_pial.stl
corticalflow,./corticalflow_203418_mw_lh_pial.ply,203418,lh,pial,153168.2845513622,0.1345166228964886,149360.01579682957,28310.76689654264,corticalflow_203418_C_mwrm_lh_pial.stl
corticalflow,./corticalflow_201818_mw_lh_pial.ply,201818,lh,pial,137716.2439050922,-0.4112842274562091,149360.01579682957,28310.76689654264,corticalflow_201818_C_mwrm_lh_pial.stl
corticalflow,./corticalflow_202719_mw_lh_pial.ply,202719,lh,pial,175054.74520192962,0.907595668425285,149360.01579682957,28310.76689654264,corticalflow_202719_C_mwrm_lh_pial.stl
corticalflow,./corticalflow_202113_mw_lh_pial.ply,202113,lh,pial,157829.89695657234,0.2991752639797662,149360.01579682957,28310.76689654264,corticalflow_202113_C_mwrm_lh_pial.stl
corticalflow,./corticalflow_203721_mw_lh_pial.ply,203721,lh,pial,128062.29697354452,-0.7522833592291688,149360.01579682957,28310.76689654264,corticalflow_203721_C_mwrm_lh_pial.stl
corticalflow,./corticalflow_200109_mw_lh_pial.ply,200109,lh,pial,139741.34724299237,-0.33975302007844393,149360.01579682957,28310.76689654264,corticalflow_200109_C_mwrm_lh_pial.stl
corticalflow,./corticalflow_204521_mw_lh_pial.ply,204521,lh,pial,143729.6568165079,-0.19887695027467675,149360.01579682957,28310.76689654264,corticalflow_204521_C_mwrm_lh_pial.stl
corticalflow,./corticalflow_204420_mw_lh_pial.ply,204420,lh,pial,151409.45692311428,0.07239087283555695,149360.01579682957,28310.76689654264,corticalflow_204420_C_mwrm_lh_pial.stl
corticalflow,./corticalflow_205220_mw_lh_pial.ply,205220,lh,pial,138192.57542983862,-0.3944591260208758,149360.01579682957,28310.76689654264,corticalflow_205220_C_mwrm_lh_pial.stl
corticalflow,./corticalflow_214221_mw_lh_pial.ply,214221,lh,pial,154252.83958755265,0.1728255475594552,149360.01579682957,28310.76689654264,corticalflow_214221_C_mwrm_lh_pial.stl
corticalflow,./corticalflow_204622_mw_lh_pial.ply,204622,lh,pial,156152.32692991468,0.23991971527675568,149360.01579682957,28310.76689654264,corticalflow_204622_C_mwrm_lh_pial.stl
corticalflow,./corticalflow_205725_mw_lh_pial.ply,205725,lh,pial,120169.63398293343,-1.031069978449115,149360.01579682957,28310.76689654264,corticalflow_205725_C_mwrm_lh_pial.stl
corticalflow,./corticalflow_205826_mw_lh_pial.ply,205826,lh,pial,200332.30363582575,1.8004559193068348,149360.01579682957,28310.76689654264,corticalflow_205826_C_mwrm_lh_pial.stl
corticalflow,./corticalflow_207123_mw_lh_pial.ply,207123,lh,pial,182944.01210827573,1.1862623303061244,149360.01579682957,28310.76689654264,corticalflow_207123_C_mwrm_lh_pial.stl
corticalflow,./corticalflow_207426_mw_lh_pial.ply,207426,lh,pial,139549.20288587,-0.34653999119174955,149360.01579682957,28310.76689654264,corticalflow_207426_C_mwrm_lh_pial.stl
corticalflow,./corticalflow_205119_mw_lh_pial.ply,205119,lh,pial,168399.04627884144,0.672501403850595,149360.01579682957,28310.76689654264,corticalflow_205119_C_mwrm_lh_pial.stl
