Project,subject_id,Hemisphere,Intersections White-Pial,Total Triangles White,Total Triangles Pial,File white,File pial
corticalflow,209127,lh,396,786794,777676,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/corticalflow/corticalflow_209127_C_mwrm_lh_white.stl,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/corticalflow/corticalflow_209127_C_mwrm_lh_pial.stl
corticalflow,212318,lh,621,783628,780204,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/corticalflow/corticalflow_212318_C_mwrm_lh_white.stl,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/corticalflow/corticalflow_212318_C_mwrm_lh_pial.stl
corticalflow,214221,lh,599,792157,783271,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/corticalflow/corticalflow_214221_C_mwrm_lh_white.stl,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/corticalflow/corticalflow_214221_C_mwrm_lh_pial.stl
corticalflow,212015,lh,205,792367,779350,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/corticalflow/corticalflow_212015_C_mwrm_lh_white.stl,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/corticalflow/corticalflow_212015_C_mwrm_lh_pial.stl
corticalflow,208125,lh,589,792912,782455,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/corticalflow/corticalflow_208125_C_mwrm_lh_white.stl,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/corticalflow/corticalflow_208125_C_mwrm_lh_pial.stl
corticalflow,212217,lh,635,789951,778998,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/corticalflow/corticalflow_212217_C_mwrm_lh_white.stl,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/corticalflow/corticalflow_212217_C_mwrm_lh_pial.stl
corticalflow,213421,lh,389,795376,783790,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/corticalflow/corticalflow_213421_C_mwrm_lh_white.stl,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/corticalflow/corticalflow_213421_C_mwrm_lh_pial.stl
corticalflow,220721,lh,359,795081,781952,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/corticalflow/corticalflow_220721_C_mwrm_lh_white.stl,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/corticalflow/corticalflow_220721_C_mwrm_lh_pial.stl
corticalflow,212419,lh,203,795467,785097,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/corticalflow/corticalflow_212419_C_mwrm_lh_white.stl,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/corticalflow/corticalflow_212419_C_mwrm_lh_pial.stl
corticalflow,214019,lh,382,794175,785300,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/corticalflow/corticalflow_214019_C_mwrm_lh_white.stl,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/corticalflow/corticalflow_214019_C_mwrm_lh_pial.stl
corticalflow,211720,lh,646,798586,788011,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/corticalflow/corticalflow_211720_C_mwrm_lh_white.stl,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/corticalflow/corticalflow_211720_C_mwrm_lh_pial.stl
corticalflow,214625,lh,463,790955,782612,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/corticalflow/corticalflow_214625_C_mwrm_lh_white.stl,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/corticalflow/corticalflow_214625_C_mwrm_lh_pial.stl
