Project,subject_id,Hemisphere,Intersections White-Pial,Total Triangles White,Total Triangles Pial,File white,File pial
csrf,289555,lh,22,188257,189129,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/csrf/csrf_289555_C_mwrm_lh_white.stl,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/csrf/csrf_289555_C_mwrm_lh_pial.stl
csrf,297655,lh,0,185134,186984,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/csrf/csrf_297655_C_mwrm_lh_white.stl,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/csrf/csrf_297655_C_mwrm_lh_pial.stl
csrf,208428,lh,70,178286,178937,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/csrf/csrf_208428_C_mwrm_lh_white.stl,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/csrf/csrf_208428_C_mwrm_lh_pial.stl
csrf,205725,lh,11,188079,188986,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/csrf/csrf_205725_C_mwrm_lh_white.stl,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/csrf/csrf_205725_C_mwrm_lh_pial.stl
csrf,224022,lh,1,193095,194275,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/csrf/csrf_224022_C_mwrm_lh_white.stl,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/csrf/csrf_224022_C_mwrm_lh_pial.stl
csrf,204420,lh,0,194209,195170,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/csrf/csrf_204420_C_mwrm_lh_white.stl,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/csrf/csrf_204420_C_mwrm_lh_pial.stl
csrf,210415,lh,11,199464,200012,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/csrf/csrf_210415_C_mwrm_lh_white.stl,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/csrf/csrf_210415_C_mwrm_lh_pial.stl
csrf,204521,lh,2,198808,200041,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/csrf/csrf_204521_C_mwrm_lh_white.stl,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/csrf/csrf_204521_C_mwrm_lh_pial.stl
csrf,208024,lh,0,197777,198928,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/csrf/csrf_208024_C_mwrm_lh_white.stl,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/csrf/csrf_208024_C_mwrm_lh_pial.stl
csrf,201818,lh,9,203800,205167,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/csrf/csrf_201818_C_mwrm_lh_white.stl,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/csrf/csrf_201818_C_mwrm_lh_pial.stl
