project,file_path,subject_id,hemisphere,surface_type,bounding_box_volume,number of standard deviations from mean,group_mean,group_stdev,stl_file_path
deepcsr,./deepcsr_200008_mw_lh_pial.ply,200008,lh,pial,137643.19258083455,-0.4138645646305644,149360.01579682957,28310.766896542635,deepcsr_200008_C_mwrm_lh_pial.stl
deepcsr,./deepcsr_203418_mw_lh_pial.ply,203418,lh,pial,153168.2845513622,0.1345166228964886,149360.01579682957,28310.766896542635,deepcsr_203418_C_mwrm_lh_pial.stl
deepcsr,./deepcsr_201818_mw_lh_pial.ply,201818,lh,pial,137716.2439050922,-0.41128422745620913,149360.01579682957,28310.766896542635,deepcsr_201818_C_mwrm_lh_pial.stl
deepcsr,./deepcsr_201414_mw_lh_pial.ply,201414,lh,pial,166372.6923254367,0.6009260219187057,149360.01579682957,28310.766896542635,deepcsr_201414_C_mwrm_lh_pial.stl
deepcsr,./deepcsr_200311_mw_lh_pial.ply,200311,lh,pial,170146.99175042709,0.7342427716479861,149360.01579682957,28310.766896542635,deepcsr_200311_C_mwrm_lh_pial.stl
deepcsr,./deepcsr_200109_mw_lh_pial.ply,200109,lh,pial,139741.34724299237,-0.339753020078444,149360.01579682957,28310.766896542635,deepcsr_200109_C_mwrm_lh_pial.stl
deepcsr,./deepcsr_201111_mw_lh_pial.ply,201111,lh,pial,208667.01953253616,2.09485684200767,149360.01579682957,28310.766896542635,deepcsr_201111_C_mwrm_lh_pial.stl
deepcsr,./deepcsr_200614_mw_lh_pial.ply,200614,lh,pial,148288.3074446393,-0.03785515087269313,149360.01579682957,28310.766896542635,deepcsr_200614_C_mwrm_lh_pial.stl
deepcsr,./deepcsr_202113_mw_lh_pial.ply,202113,lh,pial,157829.89695657234,0.29917526397976624,149360.01579682957,28310.766896542635,deepcsr_202113_C_mwrm_lh_pial.stl
deepcsr,./deepcsr_201515_mw_lh_pial.ply,201515,lh,pial,78776.75258278345,-2.493159703938147,149360.01579682957,28310.766896542635,deepcsr_201515_C_mwrm_lh_pial.stl
deepcsr,./deepcsr_201717_mw_lh_pial.ply,201717,lh,pial,150394.44139844956,0.036538240217940554,149360.01579682957,28310.766896542635,deepcsr_201717_C_mwrm_lh_pial.stl
deepcsr,./deepcsr_200210_mw_lh_pial.ply,200210,lh,pial,189208.4966677837,1.407538023133542,149360.01579682957,28310.766896542635,deepcsr_200210_C_mwrm_lh_pial.stl
deepcsr,./deepcsr_202719_mw_lh_pial.ply,202719,lh,pial,175054.74520192962,0.9075956684252852,149360.01579682957,28310.766896542635,deepcsr_202719_C_mwrm_lh_pial.stl
deepcsr,./deepcsr_200917_mw_lh_pial.ply,200917,lh,pial,185881.37031457786,1.2900164326600543,149360.01579682957,28310.766896542635,deepcsr_200917_C_mwrm_lh_pial.stl
deepcsr,./deepcsr_205725_mw_lh_pial.ply,205725,lh,pial,120169.63398293343,-1.031069978449115,149360.01579682957,28310.766896542635,deepcsr_205725_C_mwrm_lh_pial.stl
deepcsr,./deepcsr_204420_mw_lh_pial.ply,204420,lh,pial,151409.45692311428,0.07239087283555695,149360.01579682957,28310.766896542635,deepcsr_204420_C_mwrm_lh_pial.stl
deepcsr,./deepcsr_203721_mw_lh_pial.ply,203721,lh,pial,128062.29697354452,-0.7522833592291689,149360.01579682957,28310.766896542635,deepcsr_203721_C_mwrm_lh_pial.stl
deepcsr,./deepcsr_204521_mw_lh_pial.ply,204521,lh,pial,143729.6568165079,-0.19887695027467678,149360.01579682957,28310.766896542635,deepcsr_204521_C_mwrm_lh_pial.stl
deepcsr,./deepcsr_205220_mw_lh_pial.ply,205220,lh,pial,138192.57542983862,-0.39445912602087585,149360.01579682957,28310.766896542635,deepcsr_205220_C_mwrm_lh_pial.stl
deepcsr,./deepcsr_203923_mw_lh_pial.ply,203923,lh,pial,151269.628884589,0.06745183183266738,149360.01579682957,28310.766896542635,deepcsr_203923_C_mwrm_lh_pial.stl
deepcsr,./deepcsr_207426_mw_lh_pial.ply,207426,lh,pial,139549.20288587,-0.3465399911917496,149360.01579682957,28310.766896542635,deepcsr_207426_C_mwrm_lh_pial.stl
deepcsr,./deepcsr_206222_mw_lh_pial.ply,206222,lh,pial,160060.40592388934,0.3779618604526931,149360.01579682957,28310.766896542635,deepcsr_206222_C_mwrm_lh_pial.stl
deepcsr,./deepcsr_205119_mw_lh_pial.ply,205119,lh,pial,168399.04627884144,0.6725014038505951,149360.01579682957,28310.766896542635,deepcsr_205119_C_mwrm_lh_pial.stl
deepcsr,./deepcsr_204622_mw_lh_pial.ply,204622,lh,pial,156152.32692991468,0.2399197152767557,149360.01579682957,28310.766896542635,deepcsr_204622_C_mwrm_lh_pial.stl
deepcsr,./deepcsr_207123_mw_lh_pial.ply,207123,lh,pial,182944.01210827573,1.1862623303061246,149360.01579682957,28310.766896542635,deepcsr_207123_C_mwrm_lh_pial.stl
deepcsr,./deepcsr_204016_mw_lh_pial.ply,204016,lh,pial,135727.12498996887,-0.4815443840387656,149360.01579682957,28310.766896542635,deepcsr_204016_C_mwrm_lh_pial.stl
deepcsr,./deepcsr_204319_mw_lh_pial.ply,204319,lh,pial,137160.88126053152,-0.4309008859024526,149360.01579682957,28310.766896542635,deepcsr_204319_C_mwrm_lh_pial.stl
deepcsr,./deepcsr_205826_mw_lh_pial.ply,205826,lh,pial,200332.30363582575,1.800455919306835,149360.01579682957,28310.766896542635,deepcsr_205826_C_mwrm_lh_pial.stl
deepcsr,./deepcsr_250932_mw_lh_pial.ply,250932,lh,pial,156998.637803074,0.26981331993437724,149360.01579682957,28310.766896542635,deepcsr_250932_C_mwrm_lh_pial.stl
deepcsr,./deepcsr_212217_mw_lh_pial.ply,212217,lh,pial,159971.3244766125,0.3748153032576028,149360.01579682957,28310.766896542635,deepcsr_212217_C_mwrm_lh_pial.stl
deepcsr,./deepcsr_280739_mw_lh_pial.ply,280739,lh,pial,155137.76989912198,0.20408327769453688,149360.01579682957,28310.766896542635,deepcsr_280739_C_mwrm_lh_pial.stl
deepcsr,./deepcsr_211316_mw_lh_pial.ply,211316,lh,pial,63172.544560679795,-3.044335448457073,149360.01579682957,28310.766896542635,deepcsr_211316_C_mwrm_lh_pial.stl
deepcsr,./deepcsr_214221_mw_lh_pial.ply,214221,lh,pial,154252.83958755265,0.17282554755945523,149360.01579682957,28310.766896542635,deepcsr_214221_C_mwrm_lh_pial.stl
deepcsr,./deepcsr_211922_mw_lh_pial.ply,211922,lh,pial,146686.96355553382,-0.09441822085088726,149360.01579682957,28310.766896542635,deepcsr_211922_C_mwrm_lh_pial.stl
deepcsr,./deepcsr_257542_mw_lh_pial.ply,257542,lh,pial,148548.39625038387,-0.028668228925469847,149360.01579682957,28310.766896542635,deepcsr_257542_C_mwrm_lh_pial.stl
deepcsr,./deepcsr_213421_mw_lh_pial.ply,213421,lh,pial,160334.71192076534,0.3876509655863836,149360.01579682957,28310.766896542635,deepcsr_213421_C_mwrm_lh_pial.stl
deepcsr,./deepcsr_214019_mw_lh_pial.ply,214019,lh,pial,146522.75200766855,-0.10021854227860967,149360.01579682957,28310.766896542635,deepcsr_214019_C_mwrm_lh_pial.stl
