Project,subject_id,Hemisphere,Surface Type,Hausdorff Distance,ASSD,Chamfer Distance,Self-Intersection A_mwrm,Total Triangles A_mwrm,Colored CA VTK Path
freesurfer,208428,lh,pial,NA,NA,NA,6,200181,NA
freesurfer,205725,lh,pial,NA,NA,NA,11,203523,NA
freesurfer,204420,lh,pial,NA,NA,NA,9,213946,NA
freesurfer,208024,lh,pial,NA,NA,NA,12,216667,NA
freesurfer,209329,lh,pial,NA,NA,NA,2,222740,NA
freesurfer,204521,lh,pial,NA,NA,NA,18,225126,NA
freesurfer,209834,lh,pial,NA,NA,NA,13,226003,NA
freesurfer,201818,lh,pial,NA,NA,NA,18,223578,NA
freesurfer,205220,lh,pial,NA,NA,NA,6,231475,NA
freesurfer,203721,lh,pial,NA,NA,NA,13,230162,NA
freesurfer,208226,lh,pial,NA,NA,NA,8,237897,NA
freesurfer,209127,lh,pial,NA,NA,NA,16,236929,NA
freesurfer,201414,lh,pial,NA,NA,NA,20,234527,NA
freesurfer,200008,lh,pial,NA,NA,NA,16,238390,NA
freesurfer,203418,lh,pial,NA,NA,NA,5,241824,NA
freesurfer,207426,lh,pial,NA,NA,NA,35,246336,NA
freesurfer,200311,lh,pial,NA,NA,NA,4,248451,NA
freesurfer,209228,lh,pial,NA,NA,NA,18,257814,NA
freesurfer,200614,lh,pial,NA,NA,NA,14,251081,NA
freesurfer,208125,lh,pial,NA,NA,NA,12,260235,NA
freesurfer,205826,lh,pial,NA,NA,NA,11,263597,NA
freesurfer,204622,lh,pial,NA,NA,NA,20,268167,NA
freesurfer,202719,lh,pial,NA,NA,NA,14,263638,NA
freesurfer,200109,lh,pial,NA,NA,NA,16,261449,NA
freesurfer,209935,lh,pial,NA,NA,NA,4,268126,NA
freesurfer,201111,lh,pial,NA,NA,NA,20,263855,NA
freesurfer,204016,lh,pial,NA,NA,NA,15,263872,NA
freesurfer,200917,lh,pial,NA,NA,NA,12,263397,NA
freesurfer,206222,lh,pial,NA,NA,NA,10,278005,NA
freesurfer,210011,lh,pial,NA,NA,NA,9,280719,NA
freesurfer,202113,lh,pial,NA,NA,NA,12,272064,NA
freesurfer,201515,lh,pial,NA,NA,NA,8,272580,NA
freesurfer,203923,lh,pial,NA,NA,NA,24,274055,NA
freesurfer,205119,lh,pial,NA,NA,NA,13,279817,NA
freesurfer,204319,lh,pial,NA,NA,NA,11,285244,NA
freesurfer,201717,lh,pial,NA,NA,NA,36,284274,NA
freesurfer,207628,lh,pial,NA,NA,NA,40,294307,NA
freesurfer,207123,lh,pial,NA,NA,NA,6,301354,NA
freesurfer,208327,lh,pial,NA,NA,NA,13,313229,NA
freesurfer,200210,lh,pial,NA,NA,NA,13,310679,NA
freesurfer,208428,lh,white,NA,NA,NA,0,199433,NA
freesurfer,205725,lh,white,NA,NA,NA,0,202765,NA
freesurfer,208024,lh,white,NA,NA,NA,0,215713,NA
freesurfer,204420,lh,white,NA,NA,NA,0,213161,NA
freesurfer,209329,lh,white,NA,NA,NA,0,221706,NA
freesurfer,204521,lh,white,NA,NA,NA,0,224264,NA
freesurfer,209834,lh,white,NA,NA,NA,0,225759,NA
freesurfer,201818,lh,white,NA,NA,NA,0,222887,NA
freesurfer,205220,lh,white,NA,NA,NA,0,231064,NA
freesurfer,203721,lh,white,NA,NA,NA,0,230201,NA
freesurfer,209127,lh,white,NA,NA,NA,0,236280,NA
freesurfer,208226,lh,white,NA,NA,NA,0,238235,NA
freesurfer,201414,lh,white,NA,NA,NA,0,233857,NA
freesurfer,200008,lh,white,NA,NA,NA,0,237395,NA
freesurfer,203418,lh,white,NA,NA,NA,0,241071,NA
freesurfer,207426,lh,white,NA,NA,NA,0,246399,NA
freesurfer,200311,lh,white,NA,NA,NA,0,248235,NA
freesurfer,200614,lh,white,NA,NA,NA,0,250698,NA
freesurfer,209228,lh,white,NA,NA,NA,0,257606,NA
freesurfer,208125,lh,white,NA,NA,NA,0,259979,NA
freesurfer,205826,lh,white,NA,NA,NA,0,262264,NA
freesurfer,200109,lh,white,NA,NA,NA,0,260570,NA
freesurfer,204622,lh,white,NA,NA,NA,0,268716,NA
freesurfer,202719,lh,white,NA,NA,NA,6,263507,NA
freesurfer,201111,lh,white,NA,NA,NA,0,263974,NA
freesurfer,209935,lh,white,NA,NA,NA,0,266574,NA
freesurfer,204016,lh,white,NA,NA,NA,0,263368,NA
freesurfer,200917,lh,white,NA,NA,NA,0,264094,NA
freesurfer,201515,lh,white,NA,NA,NA,0,271235,NA
freesurfer,206222,lh,white,NA,NA,NA,0,277223,NA
freesurfer,202113,lh,white,NA,NA,NA,0,270821,NA
freesurfer,210011,lh,white,NA,NA,NA,0,279409,NA
freesurfer,203923,lh,white,NA,NA,NA,0,274138,NA
freesurfer,205119,lh,white,NA,NA,NA,0,279773,NA
freesurfer,204319,lh,white,NA,NA,NA,0,284477,NA
freesurfer,201717,lh,white,NA,NA,NA,0,284063,NA
freesurfer,207628,lh,white,NA,NA,NA,0,293310,NA
freesurfer,207123,lh,white,NA,NA,NA,0,299934,NA
freesurfer,205725,rh,pial,NA,NA,NA,0,200530,NA
freesurfer,208428,rh,pial,NA,NA,NA,13,202807,NA
freesurfer,208327,lh,white,NA,NA,NA,0,312386,NA
freesurfer,200210,lh,white,NA,NA,NA,0,310749,NA
freesurfer,208024,rh,pial,NA,NA,NA,48,215629,NA
freesurfer,204420,rh,pial,NA,NA,NA,6,216209,NA
freesurfer,209329,rh,pial,NA,NA,NA,5,220866,NA
freesurfer,201818,rh,pial,NA,NA,NA,20,220330,NA
freesurfer,204521,rh,pial,NA,NA,NA,5,225686,NA
freesurfer,209834,rh,pial,NA,NA,NA,54,226096,NA
