project,file_path,subject_id,hemisphere,surface_type,bounding_box_volume,number of standard deviations from mean,group_mean,group_stdev,stl_file_path
freesurfer,./freesurfer_201515_mw_lh_white.ply,201515,lh,white,80789.65351387723,-2.412931880385389,143370.00074576464,25935.397406201206,freesurfer_201515_C_mwrm_lh_white.stl
freesurfer,./freesurfer_201515_mw_lh_pial.ply,201515,lh,pial,78776.75258278345,-2.4931597039381463,149360.01579682957,28310.76689654264,freesurfer_201515_C_mwrm_lh_pial.stl
freesurfer,./freesurfer_209935_mw_lh_white.ply,209935,lh,white,77217.09277108418,-2.5506803284557793,143370.00074576464,25935.397406201206,freesurfer_209935_C_mwrm_lh_white.stl
freesurfer,./freesurfer_210011_mw_lh_white.ply,210011,lh,white,71473.06766052406,-2.7721546718250742,143370.00074576464,25935.397406201206,freesurfer_210011_C_mwrm_lh_white.stl
freesurfer,./freesurfer_208327_mw_rh_white.ply,208327,rh,white,79248.45189660702,-3.5629537538245386,148334.44826694738,19390.09067860682,freesurfer_208327_C_mwrm_rh_white.stl
freesurfer,./freesurfer_209935_mw_lh_pial.ply,209935,lh,pial,74170.49127465553,-2.6558632197051613,149360.01579682957,28310.76689654264,freesurfer_209935_C_mwrm_lh_pial.stl
freesurfer,./freesurfer_210011_mw_lh_pial.ply,210011,lh,pial,70236.79243650367,-2.794810315434746,149360.01579682957,28310.76689654264,freesurfer_210011_C_mwrm_lh_pial.stl
freesurfer,./freesurfer_208327_mw_rh_pial.ply,208327,rh,pial,77948.82930417106,-3.71907898370628,157119.222480024,21287.634256413403,freesurfer_208327_C_mwrm_rh_pial.stl
freesurfer,./freesurfer_211316_mw_lh_white.ply,211316,lh,white,63687.752686783104,-3.072335727538509,143370.00074576464,25935.397406201206,freesurfer_211316_C_mwrm_lh_white.stl
freesurfer,./freesurfer_211316_mw_lh_pial.ply,211316,lh,pial,63172.544560679795,-3.0443354484570726,149360.01579682957,28310.76689654264,freesurfer_211316_C_mwrm_lh_pial.stl
freesurfer,./freesurfer_250427_mw_rh_pial.ply,250427,rh,pial,57408.05152203337,-4.683994931374316,157119.222480024,21287.634256413403,freesurfer_250427_C_mwrm_rh_pial.stl
freesurfer,./freesurfer_250427_mw_rh_white.ply,250427,rh,white,57113.029941694025,-4.704537995064581,148334.44826694738,19390.09067860682,freesurfer_250427_C_mwrm_rh_white.stl
freesurfer,./freesurfer_214726_mw_lh_white.ply,214726,lh,white,72663.44716148054,-2.726256801732216,143370.00074576464,25935.397406201206,freesurfer_214726_C_mwrm_lh_white.stl
freesurfer,./freesurfer_228434_mw_lh_white.ply,228434,lh,white,59381.06368612922,-3.238390210267358,143370.00074576464,25935.397406201206,freesurfer_228434_C_mwrm_lh_white.stl
freesurfer,./freesurfer_214726_mw_lh_pial.ply,214726,lh,pial,73463.34102245848,-2.680841358050238,149360.01579682957,28310.76689654264,freesurfer_214726_C_mwrm_lh_pial.stl
freesurfer,./freesurfer_228434_mw_lh_pial.ply,228434,lh,pial,58218.53192254772,-3.2193223238121536,149360.01579682957,28310.76689654264,freesurfer_228434_C_mwrm_lh_pial.stl
freesurfer,./freesurfer_298455_mw_lh_pial.ply,298455,lh,pial,89134.29998752891,-2.1273078200031215,149360.01579682957,28310.76689654264,freesurfer_298455_C_mwrm_lh_pial.stl
freesurfer,./freesurfer_293748_mw_lh_pial.ply,293748,lh,pial,59123.046449651214,-3.187372835110244,149360.01579682957,28310.76689654264,freesurfer_293748_C_mwrm_lh_pial.stl
freesurfer,./freesurfer_293748_mw_lh_white.ply,293748,lh,white,59491.534409081665,-3.234130752769089,143370.00074576464,25935.397406201206,freesurfer_293748_C_mwrm_lh_white.stl
