Project,subject_id,Hemisphere,Intersections White-Pial,Total Triangles White,Total Triangles Pial,File white,File pial
freesurfer,205725,lh,49,202765,203523,./freesurfer_205725_A_mwrm_lh_white.stl,./freesurfer_205725_A_mwrm_lh_pial.stl
freesurfer,208428,lh,72,199433,200181,./freesurfer_208428_A_mwrm_lh_white.stl,./freesurfer_208428_A_mwrm_lh_pial.stl
freesurfer,208024,lh,0,215713,216667,./freesurfer_208024_A_mwrm_lh_white.stl,./freesurfer_208024_A_mwrm_lh_pial.stl
freesurfer,204420,lh,0,213161,213946,./freesurfer_204420_A_mwrm_lh_white.stl,./freesurfer_204420_A_mwrm_lh_pial.stl
freesurfer,209329,lh,71,221706,222740,./freesurfer_209329_A_mwrm_lh_white.stl,./freesurfer_209329_A_mwrm_lh_pial.stl
freesurfer,201818,lh,23,222887,223578,./freesurfer_201818_A_mwrm_lh_white.stl,./freesurfer_201818_A_mwrm_lh_pial.stl
freesurfer,209834,lh,0,225759,226003,./freesurfer_209834_A_mwrm_lh_white.stl,./freesurfer_209834_A_mwrm_lh_pial.stl
freesurfer,204521,lh,0,224264,225126,./freesurfer_204521_A_mwrm_lh_white.stl,./freesurfer_204521_A_mwrm_lh_pial.stl
freesurfer,205220,lh,19,231064,231475,./freesurfer_205220_A_mwrm_lh_white.stl,./freesurfer_205220_A_mwrm_lh_pial.stl
freesurfer,203721,lh,9,230201,230162,./freesurfer_203721_A_mwrm_lh_white.stl,./freesurfer_203721_A_mwrm_lh_pial.stl
freesurfer,209127,lh,62,236280,236929,./freesurfer_209127_A_mwrm_lh_white.stl,./freesurfer_209127_A_mwrm_lh_pial.stl
freesurfer,208226,lh,21,238235,237897,./freesurfer_208226_A_mwrm_lh_white.stl,./freesurfer_208226_A_mwrm_lh_pial.stl
freesurfer,200008,lh,5,237395,238390,./freesurfer_200008_A_mwrm_lh_white.stl,./freesurfer_200008_A_mwrm_lh_pial.stl
freesurfer,201414,lh,47,233857,234527,./freesurfer_201414_A_mwrm_lh_white.stl,./freesurfer_201414_A_mwrm_lh_pial.stl
freesurfer,205725,rh,0,199960,200530,./freesurfer_205725_A_mwrm_rh_white.stl,./freesurfer_205725_A_mwrm_rh_pial.stl
freesurfer,208428,rh,0,201887,202807,./freesurfer_208428_A_mwrm_rh_white.stl,./freesurfer_208428_A_mwrm_rh_pial.stl
freesurfer,203418,lh,0,241071,241824,./freesurfer_203418_A_mwrm_lh_white.stl,./freesurfer_203418_A_mwrm_lh_pial.stl
freesurfer,207426,lh,0,246399,246336,./freesurfer_207426_A_mwrm_lh_white.stl,./freesurfer_207426_A_mwrm_lh_pial.stl
freesurfer,200311,lh,48,248235,248451,./freesurfer_200311_A_mwrm_lh_white.stl,./freesurfer_200311_A_mwrm_lh_pial.stl
freesurfer,200614,lh,91,250698,251081,./freesurfer_200614_A_mwrm_lh_white.stl,./freesurfer_200614_A_mwrm_lh_pial.stl
freesurfer,208024,rh,6,215962,215629,./freesurfer_208024_A_mwrm_rh_white.stl,./freesurfer_208024_A_mwrm_rh_pial.stl
freesurfer,209228,lh,0,257606,257814,./freesurfer_209228_A_mwrm_lh_white.stl,./freesurfer_209228_A_mwrm_lh_pial.stl
freesurfer,204420,rh,11,216477,216209,./freesurfer_204420_A_mwrm_rh_white.stl,./freesurfer_204420_A_mwrm_rh_pial.stl
freesurfer,208125,lh,10,259979,260235,./freesurfer_208125_A_mwrm_lh_white.stl,./freesurfer_208125_A_mwrm_lh_pial.stl
freesurfer,205826,lh,97,262264,263597,./freesurfer_205826_A_mwrm_lh_white.stl,./freesurfer_205826_A_mwrm_lh_pial.stl
freesurfer,209329,rh,10,220570,220866,./freesurfer_209329_A_mwrm_rh_white.stl,./freesurfer_209329_A_mwrm_rh_pial.stl
freesurfer,202719,lh,73,263507,263638,./freesurfer_202719_A_mwrm_lh_white.stl,./freesurfer_202719_A_mwrm_lh_pial.stl
freesurfer,204622,lh,0,268716,268167,./freesurfer_204622_A_mwrm_lh_white.stl,./freesurfer_204622_A_mwrm_lh_pial.stl
freesurfer,200109,lh,0,260570,261449,./freesurfer_200109_A_mwrm_lh_white.stl,./freesurfer_200109_A_mwrm_lh_pial.stl
freesurfer,201111,lh,51,263974,263855,./freesurfer_201111_A_mwrm_lh_white.stl,./freesurfer_201111_A_mwrm_lh_pial.stl
freesurfer,209935,lh,808,266574,268126,./freesurfer_209935_A_mwrm_lh_white.stl,./freesurfer_209935_A_mwrm_lh_pial.stl
freesurfer,204016,lh,44,263368,263872,./freesurfer_204016_A_mwrm_lh_white.stl,./freesurfer_204016_A_mwrm_lh_pial.stl
freesurfer,201818,rh,68,220128,220330,./freesurfer_201818_A_mwrm_rh_white.stl,./freesurfer_201818_A_mwrm_rh_pial.stl
freesurfer,209834,rh,6,226431,226096,./freesurfer_209834_A_mwrm_rh_white.stl,./freesurfer_209834_A_mwrm_rh_pial.stl
freesurfer,204521,rh,4,226558,225686,./freesurfer_204521_A_mwrm_rh_white.stl,./freesurfer_204521_A_mwrm_rh_pial.stl
freesurfer,200917,lh,51,264094,263397,./freesurfer_200917_A_mwrm_lh_white.stl,./freesurfer_200917_A_mwrm_lh_pial.stl
freesurfer,201515,lh,867,271235,272580,./freesurfer_201515_A_mwrm_lh_white.stl,./freesurfer_201515_A_mwrm_lh_pial.stl
freesurfer,210011,lh,720,279409,280719,./freesurfer_210011_A_mwrm_lh_white.stl,./freesurfer_210011_A_mwrm_lh_pial.stl
