Project,subject_id,Hemisphere,Surface Type,Hausdorff Distance,ASSD,Chamfer Distance,Self-Intersection C_mwrm,Total Triangles C_mwrm,Colored CA VTK Path,Total Triangles A_mwrm
cortexode,257542,rh,pial,3.504194043920976,0.4182455448074846,0.8364910896149693,1459,239355.0,cortexode_257542_CA_rh_pial_distanceMesh.vtk,
cortexode,203923,rh,pial,3.74176440826407,0.4346161068374312,0.8692322136748625,1428,248201.0,cortexode_203923_CA_rh_pial_distanceMesh.vtk,
cortexode,249947,rh,pial,5.76342507388337,0.4282164653314734,0.8564329306629468,1391,220691.0,cortexode_249947_CA_rh_pial_distanceMesh.vtk,
cortexode,210617,rh,pial,4.23748449978273,0.4392915306598808,0.8785830613197616,1351,244868.0,cortexode_210617_CA_rh_pial_distanceMesh.vtk,
cortexode,209127,rh,pial,4.046636465411475,0.4189198450496945,0.837839690099389,1315,220473.0,cortexode_209127_CA_rh_pial_distanceMesh.vtk,
cortexode,257542,rh,pial,3.547486303190285,0.4213850855121159,0.8427701710242319,3036,239341.0,cortexode_257542_CA_rh_pial_distanceMesh.vtk,
cortexode,249947,rh,pial,5.3505408140398485,0.4338130300771051,0.8676260601542103,2429,220686.0,cortexode_249947_CA_rh_pial_distanceMesh.vtk,
cortexode,268749,rh,pial,5.766716097699141,0.4258036800496588,0.8516073600993176,2346,282742.0,cortexode_268749_CA_rh_pial_distanceMesh.vtk,
cortexode,209127,rh,pial,3.541792566528174,0.4231560382207909,0.8463120764415819,2283,220433.0,cortexode_209127_CA_rh_pial_distanceMesh.vtk,
cortexode,257542,lh,pial,6.768102181349176,0.4268006595435742,0.8536013190871484,2209,237570.0,cortexode_257542_CA_lh_pial_distanceMesh.vtk,
corticalflow,209329,lh,pial,5.071929851525892,0.4704203526252778,0.9408407052505556,32137,785785.0,corticalflow_209329_CA_lh_pial_distanceMesh.vtk,
corticalflow,223929,lh,pial,5.466514181195943,0.4996241939802304,0.9992483879604608,28949,777581.0,corticalflow_223929_CA_lh_pial_distanceMesh.vtk,
corticalflow,249947,lh,pial,5.2412306671170565,0.4526432867804982,0.9052865735609964,27900,783234.0,corticalflow_249947_CA_lh_pial_distanceMesh.vtk,
corticalflow,257542,lh,pial,5.142820987278256,0.4595386871070913,0.9190773742141826,27424,784878.0,corticalflow_257542_CA_lh_pial_distanceMesh.vtk,
corticalflow,268749,lh,pial,5.0753917239060575,0.4809479016091313,0.9618958032182628,26359,783966.0,corticalflow_268749_CA_lh_pial_distanceMesh.vtk,
corticalflow++,211720,lh,pial,5.854324316268423,0.4438698125489909,0.8877396250979819,8463,696263.0,corticalflow++_211720_CA_lh_pial_distanceMesh.vtk,
