Project,subject_id,Hemisphere,Intersections White-Pial,Total Triangles White,Total Triangles Pial,File white,File pial
vox2cortex,209834,lh,53,76644,77765,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/vox2cortex/vox2cortex_209834_C_mwrm_lh_white.stl,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/vox2cortex/vox2cortex_209834_C_mwrm_lh_pial.stl
vox2cortex,203418,lh,0,77194,78659,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/vox2cortex/vox2cortex_203418_C_mwrm_lh_white.stl,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/vox2cortex/vox2cortex_203418_C_mwrm_lh_pial.stl
vox2cortex,204420,lh,8,76866,78148,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/vox2cortex/vox2cortex_204420_C_mwrm_lh_white.stl,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/vox2cortex/vox2cortex_204420_C_mwrm_lh_pial.stl
vox2cortex,205826,lh,0,77112,78484,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/vox2cortex/vox2cortex_205826_C_mwrm_lh_white.stl,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/vox2cortex/vox2cortex_205826_C_mwrm_lh_pial.stl
vox2cortex,208024,lh,51,77202,78735,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/vox2cortex/vox2cortex_208024_C_mwrm_lh_white.stl,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/vox2cortex/vox2cortex_208024_C_mwrm_lh_pial.stl
vox2cortex,208125,lh,59,77045,78775,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/vox2cortex/vox2cortex_208125_C_mwrm_lh_white.stl,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/vox2cortex/vox2cortex_208125_C_mwrm_lh_pial.stl
vox2cortex,207628,lh,36,77154,78275,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/vox2cortex/vox2cortex_207628_C_mwrm_lh_white.stl,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/vox2cortex/vox2cortex_207628_C_mwrm_lh_pial.stl
vox2cortex,209935,lh,194,78992,80879,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/vox2cortex/vox2cortex_209935_C_mwrm_lh_white.stl,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/vox2cortex/vox2cortex_209935_C_mwrm_lh_pial.stl
vox2cortex,204521,lh,33,76914,78464,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/vox2cortex/vox2cortex_204521_C_mwrm_lh_white.stl,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/vox2cortex/vox2cortex_204521_C_mwrm_lh_pial.stl
vox2cortex,208226,lh,65,76827,78222,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/vox2cortex/vox2cortex_208226_C_mwrm_lh_white.stl,/data/users2/washbee/speedrun/mwexperiments/BrainPlots/scripts/medialwallv2/vox2cortex/vox2cortex_208226_C_mwrm_lh_pial.stl
