file_idx,file_name,selfIntersections,triangles
0,200008_lh.white_converted.stl,0,257072
1,200109_lh.white_converted.stl,0,280218
2,200210_lh.white_converted.stl,0,332922
3,200311_lh.white_converted.stl,0,269718
4,200614_lh.white_converted.stl,0,270024
5,200917_lh.white_converted.stl,0,283558
6,201111_lh.white_converted.stl,0,286562
7,201414_lh.white_converted.stl,0,253966
8,201515_lh.white_converted.stl,0,287410
9,201717_lh.white_converted.stl,0,304088
10,201818_lh.white_converted.stl,0,242758
11,202113_lh.white_converted.stl,0,290908
12,202719_lh.white_converted.stl,5,283920
13,203418_lh.white_converted.stl,0,261780
14,203721_lh.white_converted.stl,0,247896
15,203923_lh.white_converted.stl,0,293748
16,204016_lh.white_converted.stl,0,281946
17,204319_lh.white_converted.stl,0,303108
18,204420_lh.white_converted.stl,0,232052
19,204521_lh.white_converted.stl,0,243650
20,204622_lh.white_converted.stl,0,289010
21,205119_lh.white_converted.stl,0,300802
22,205220_lh.white_converted.stl,0,250100
23,205725_lh.white_converted.stl,0,220872
24,205826_lh.white_converted.stl,0,284782
25,206222_lh.white_converted.stl,0,298724
26,207123_lh.white_converted.stl,0,322656
27,207426_lh.white_converted.stl,0,264856
28,207628_lh.white_converted.stl,0,314574
29,208024_lh.white_converted.stl,0,234564
30,208125_lh.white_converted.stl,0,280040
31,208226_lh.white_converted.stl,0,259250
32,208327_lh.white_converted.stl,0,333692
33,208428_lh.white_converted.stl,0,216048
34,209127_lh.white_converted.stl,0,256598
35,209228_lh.white_converted.stl,0,279466
36,209329_lh.white_converted.stl,0,239390
37,209834_lh.white_converted.stl,0,246156
38,209935_lh.white_converted.stl,1,282130
39,210011_lh.white_converted.stl,0,294508
40,210415_lh.white_converted.stl,0,233978
41,210617_lh.white_converted.stl,1,286524
42,211114_lh.white_converted.stl,0,281144
43,211215_lh.white_converted.stl,0,322260
44,211316_lh.white_converted.stl,0,229152
45,211417_lh.white_converted.stl,0,270632
46,211720_lh.white_converted.stl,2,323048
47,211922_lh.white_converted.stl,0,267392
48,212015_lh.white_converted.stl,0,298168
49,212116_lh.white_converted.stl,0,260142
50,212217_lh.white_converted.stl,0,253706
51,212318_lh.white_converted.stl,1,247812
52,212419_lh.white_converted.stl,0,270562
53,212823_lh.white_converted.stl,0,287228
54,213421_lh.white_converted.stl,0,292928
55,214019_lh.white_converted.stl,0,243902
56,214221_lh.white_converted.stl,0,252660
57,214423_lh.white_converted.stl,0,342284
58,214524_lh.white_converted.stl,0,285906
59,214625_lh.white_converted.stl,0,281894
60,214726_lh.white_converted.stl,0,275344
61,217126_lh.white_converted.stl,0,270032
62,217429_lh.white_converted.stl,0,253632
63,220721_lh.white_converted.stl,0,288338
64,221218_lh.white_converted.stl,0,254068
65,221319_lh.white_converted.stl,0,246444
66,223929_lh.white_converted.stl,0,387098
67,224022_lh.white_converted.stl,0,232388
68,227432_lh.white_converted.stl,0,276134
69,228434_lh.white_converted.stl,0,241266
70,231928_lh.white_converted.stl,0,256634
71,233326_lh.white_converted.stl,0,302036
72,236130_lh.white_converted.stl,0,271802
73,237334_lh.white_converted.stl,0,252766
74,239944_lh.white_converted.stl,0,281074
75,245333_lh.white_converted.stl,0,248286
76,246133_lh.white_converted.stl,0,250494
77,248339_lh.white_converted.stl,0,286984
78,249947_lh.white_converted.stl,0,259824
79,250427_lh.white_converted.stl,0,244994
80,250932_lh.white_converted.stl,1,250412
81,251833_lh.white_converted.stl,1,308370
82,255639_lh.white_converted.stl,0,243160
83,256540_lh.white_converted.stl,0,260318
84,257542_lh.white_converted.stl,0,275570
85,257845_lh.white_converted.stl,11,290406
86,263436_lh.white_converted.stl,0,290236
87,268749_lh.white_converted.stl,0,324934
88,268850_lh.white_converted.stl,1,273890
89,270332_lh.white_converted.stl,0,354860
90,275645_lh.white_converted.stl,0,253366
91,280739_lh.white_converted.stl,0,250876
92,280941_lh.white_converted.stl,29,278120
93,283543_lh.white_converted.stl,0,281496
94,284646_lh.white_converted.stl,0,277420
95,285345_lh.white_converted.stl,0,253974
96,285446_lh.white_converted.stl,3,297004
97,286650_lh.white_converted.stl,0,297450
98,287248_lh.white_converted.stl,0,294472
99,289555_lh.white_converted.stl,0,224130
100,290136_lh.white_converted.stl,0,294176
101,293748_lh.white_converted.stl,0,227090
102,295146_lh.white_converted.stl,0,257788
103,297655_lh.white_converted.stl,0,224816
104,298051_lh.white_converted.stl,0,307394
105,298455_lh.white_converted.stl,0,281764
106,299154_lh.white_converted.stl,0,303706
