triangles,collisions
247632,1730
264540,1723
318096,911
258660,803
261560,1331
265372,1631
264384,434
242472,825
282712,1506
284968,675
241848,1687
280124,1537
270620,675
252104,852
237640,1012
273784,1507
265680,904
287536,1325
225404,1357
227776,1626
267872,601
277252,287
240340,1053
221444,1229
269332,675
279572,1357
297004,250
245476,456
282936,972
228408,678
259764,681
248660,1085
309644,547
202048,1828
248264,991
265164,689
237336,1598
229672,1669
269552,872
269572,386
232484,1085
283084,2021
264600,1613
304444,727
225560,672
254316,923
293184,865
259580,1289
281580,1133
247772,1212
243956,1133
235276,788
260444,1006
274152,1002
276808,1027
237460,1105
244768,1418
322624,1278
269652,419
264440,944
265708,531
254116,991
249968,1366
271424,408
240320,1320
234452,1043
357708,1484
217444,932
257412,854
234068,758
246644,1217
285108,666
258912,1042
237940,820
267568,1619
241212,1519
268880,1822
270500,1152
257036,1482
237872,1072
244684,925
289684,744
234792,1005
242876,1104
268324,1198
270516,708
271736,1904
303844,1205
262764,1074
321052,1423
244880,1215
234476,1194
263748,1049
271092,1023
253208,1239
241276,1222
280984,1508
280728,452
278236,1615
210500,975
275964,927
221296,1400
242044,870
211628,616
283728,791
263472,480
289880,1304
