triangles,collisions
759936,4039
759936,3715
759936,1845
759936,1169
759936,7214
759936,10155
759936,254
759936,3098
759936,5788
759936,1971
759936,2089
759936,6297
759936,2701
759936,4888
759936,1753
759936,6572
759936,5745
759936,3069
759936,1918
759936,1030
759936,1720
759936,509
759936,481
759936,7024
759936,4300
759936,1575
759936,800
759936,551
759936,1465
759936,4758
759936,2970
759936,2517
759936,2201
759936,2723
759936,2695
759936,2663
759936,4897
759936,3404
759936,255
759936,2691
759936,5820
759936,1933
759936,3245
759936,6550
759936,1304
759936,3637
759936,23482
759936,663
759936,701
759936,1135
759936,1166
759936,1003
759936,6289
759936,1166
759936,6535
759936,1720
759936,3942
759936,2082
759936,3190
759936,6542
759936,565
759936,3314
759936,6970
759936,236
759936,10086
759936,1556
759936,2109
759936,566
759936,873
759936,2695
759936,5901
759936,1458
759936,985
759936,5241
759936,2463
759936,1451
759936,2563
759936,2042
759936,7642
759936,9059
759936,5473
759936,789
759936,1479
759936,6936
759936,4356
759936,1066
759936,10633
759936,2072
759936,2190
759936,1891
759936,598
759936,388
759936,3335
759936,4667
759936,294
759936,1247
759936,3802
759936,1052
759936,1862
759936,2029
759936,7860
759936,1845
759936,3949
759936,544
759936,1886
759936,705
759936,6832
