triangles,collisions
305956,0
343688,0
393716,2
386524,0
359212,0
319384,0
340068,3
394552,0
364120,0
329504,0
346036,0
353360,0
389804,0
383896,0
286868,0
321996,0
385216,0
360944,0
339852,0
323348,0
387472,0
336424,0
345188,0
392196,0
380188,0
354288,0
390284,0
318976,0
321812,0
340260,0
382076,0
366784,0
433424,0
268352,0
330860,0
360452,0
325168,0
285000,0
381912,0
412624,0
335648,0
413832,0
306948,0
386980,0
350724,0
377476,0
345684,1
353220,0
348184,0
373908,1
346240,0
375028,0
333168,0
403564,0
345256,0
366080,0
346680,0
335208,0
386348,0
391188,2
388284,0
355936,0
336884,0
421620,0
306768,0
352700,0
358500,0
320732,0
394864,0
374204,0
344140,0
373000,0
353036,0
380444,0
379924,0
365648,0
337788,1
383792,0
348640,0
387616,0
337564,0
412232,0
396600,0
328016,0
338388,0
435536,0
380948,0
337656,0
356160,0
386364,0
365812,0
362680,0
377224,0
425580,0
328756,0
355104,1
417820,1
361244,0
359636,0
338632,0
370692,0
369044,0
294480,4
338228,0
426328,0
404508,0
348576,0
