triangles,collisions
233978,24979
308370,34268
332922,26925
290406,33646
246156,45737
250412,22097
243902,27846
303108,35865
281074,36764
243160,26147
322656,36245
227090,25764
314574,55401
224816,26584
287228,36179
271802,27409
281894,33269
246444,27322
239390,32142
248286,30595
257788,33619
294508,35207
342284,43910
253706,33514
286524,33768
280218,42752
333692,36833
270562,30000
273890,29240
281144,42516
257072,35364
323048,40285
290236,42455
253632,32042
229152,28872
277420,38938
220872,22600
216048,36116
283558,48311
282130,25129
322260,35055
250100,29172
281946,32270
298168,38515
269718,24676
242758,26259
302036,28542
247896,30645
297004,40302
267392,28291
292928,33690
256634,34856
294472,35976
275570,35251
279466,31988
270024,32092
290908,36093
243650,36279
244994,23361
354860,51095
285906,22770
259824,39848
270032,40746
224130,33513
281496,27970
232388,34817
254068,37490
275344,21924
289010,30847
241266,19510
252660,36705
234564,27360
250876,35448
259250,25959
264856,27043
307394,39297
253366,28788
281764,30537
387098,54048
232052,28200
270632,35709
324934,51563
293748,42498
256598,24610
284782,36402
260318,34887
250494,32553
287410,24653
247812,25386
303706,31760
288338,31699
278120,37440
253974,32336
276134,32207
300802,38993
280040,31849
294176,41940
297450,26128
253966,30140
261780,28025
286562,27713
283920,31970
298724,34474
304088,42988
286984,34827
260142,32134
252766,29158
