triangles,collisions
84028,3685
84028,3257
84028,2070
84028,817
84028,2191
84028,2158
84028,1471
84028,1412
84028,3660
84028,988
84028,2762
84028,1690
84028,1116
84028,1632
84028,3944
84028,2825
84028,1335
84028,2173
84028,2705
84028,2900
84028,244
84028,1264
84028,2076
84028,3223
84028,431
84028,1839
84028,500
84028,911
84028,1033
84028,3868
84028,817
84028,1819
84028,349
84028,1905
84028,3510
84028,2867
84028,2767
84028,624
84028,790
84028,348
84028,2753
84028,2701
84028,2773
84028,1545
84028,1829
84028,1928
84028,383
84028,3615
84028,2757
84028,705
84028,4444
84028,726
84028,4040
84028,806
84028,333
84028,2410
84028,1957
84028,2640
84028,1098
84028,1842
84028,632
84028,915
84028,3117
84028,523
84028,2099
84028,1541
84028,2328
84028,882
84028,854
84028,1737
84028,2213
84028,1569
84028,2374
84028,479
84028,2587
84028,3448
84028,2982
84028,690
84028,3511
84028,2326
84028,2513
84028,981
84028,1168
84028,926
84028,2960
84028,753
84028,2214
84028,2032
84028,2857
84028,369
84028,1140
84028,2374
84028,1745
84028,1028
84028,887
84028,2594
84028,1720
84028,594
84028,3276
84028,2498
84028,1759
84028,1292
84028,823
84028,914
84028,738
84028,442
84028,2104
