triangles,collisions
247632,76
264540,221
318096,61
258660,36
261560,82
265372,95
264384,63
242472,28
282712,446
284968,9
241848,118
280124,37
270620,26
252104,177
237640,132
273784,73
265680,38
287536,100
225404,151
227776,140
267872,14
277252,2
240340,48
221444,76
269332,9
279572,84
297004,20
245476,12
282936,53
228408,72
259764,37
248660,134
309644,4
202048,148
248264,130
265164,69
237336,109
229672,166
269552,57
269572,34
232484,61
283084,174
264600,78
304444,37
225560,39
254316,84
293184,10
259580,193
281580,51
247772,48
243956,89
235276,38
260444,81
274152,67
276808,49
237460,257
244768,294
322624,127
269652,18
264440,61
265708,28
254116,67
249968,149
271424,12
240320,83
234452,72
357708,47
217444,19
257412,40
234068,205
246644,272
285108,26
258912,69
237940,31
267568,78
241212,115
268880,359
270500,28
257036,227
237872,50
244684,136
289684,21
234792,36
242876,57
268324,46
270516,8
271736,133
303844,16
262764,96
321052,51
244880,50
234476,135
263748,117
271092,29
253208,25
241276,200
280984,83
280728,222
278236,163
210500,53
275964,130
221296,218
242044,20
211628,52
283728,31
263472,18
289880,71
