triangles,collisions
759936,1910
759936,730
759936,700
759936,785
759936,1659
759936,4185
759936,17
759936,1270
759936,2417
759936,699
759936,921
759936,3410
759936,970
759936,2547
759936,990
759936,3319
759936,2657
759936,722
759936,516
759936,64
759936,341
759936,33
759936,21
759936,2515
759936,518
759936,142
759936,223
759936,145
759936,104
759936,1813
759936,1206
759936,866
759936,643
759936,597
759936,802
759936,900
759936,1325
759936,1165
759936,46
759936,728
759936,805
759936,206
759936,1028
759936,1979
759936,348
759936,736
759936,18535
759936,45
759936,66
759936,442
759936,107
759936,569
759936,3036
759936,482
759936,3529
759936,632
759936,1512
759936,1037
759936,604
759936,617
759936,12
759936,1933
759936,1081
759936,142
759936,5100
759936,380
759936,190
759936,147
759936,311
759936,1669
759936,2085
759936,378
759936,89
759936,2294
759936,751
759936,257
759936,1265
759936,568
759936,2991
759936,1086
759936,2540
759936,95
759936,536
759936,2123
759936,1756
759936,245
759936,2555
759936,288
759936,822
759936,248
759936,70
759936,58
759936,1204
759936,1031
759936,2
759936,246
759936,674
759936,275
759936,214
759936,478
759936,1002
759936,612
759936,933
759936,243
759936,193
759936,122
759936,4004
