triangles,collisions
429020,0
440452,0
438812,0
406556,0
425164,2
414676,0
399152,0
406816,0
434448,0
429444,0
408028,0
456568,0
426228,0
413772,0
420620,0
429024,0
439028,0
453308,0
396160,0
384024,0
415368,0
396116,0
420976,0
392096,0
393884,0
435744,0
415804,4
399100,0
432320,0
396444,0
420472,0
414732,1
450784,0
383036,0
417752,0
409404,0
416656,0
424476,0
388992,0
416624,0
412640,0
445724,1
418960,0
447180,1
389476,0
422148,0
445864,0
434100,0
406640,1
432404,0
415364,0
389608,0
429532,1
409892,0
426272,0
408864,1
405184,1
445924,0
408412,0
429300,1
415884,0
393464,0
409444,0
403192,0
419160,0
389472,0
467736,0
392496,0
393144,2
416244,0
404772,0
428576,0
435968,0
409800,0
427808,0
410356,1
420920,1
425676,0
442288,0
429128,0
434832,0
424912,0
411264,0
408652,1
423276,0
420812,0
441492,0
450336,0
436408,0
432600,0
426912,0
404156,0
412904,0
423684,0
395652,0
411684,0
420820,0
418176,0
419820,2
394612,0
415512,0
384608,0
401340,0
382524,0
429416,0
411416,0
456488,0
