triangles,collisions
327680,250
327680,0
327680,88
327680,43
327680,32
327680,58
327680,97
327680,15
327680,1
327680,1
327680,26
327680,56
327680,8
327680,5
327680,18
327680,220
327680,31
327680,18
327680,3
327680,1
327680,0
327680,0
327680,63
327680,2
327680,314
327680,31
327680,0
327680,12
327680,423
327680,79
327680,69
327680,3
327680,17
327680,53
327680,6
327680,6
327680,0
327680,173
327680,12
327680,2
327680,55
327680,111
327680,51
327680,5
327680,0
327680,41
327680,200
327680,3
327680,63
327680,162
327680,320
327680,35
327680,453
327680,4
327680,0
327680,14
327680,0
327680,418
327680,0
327680,159
327680,16
327680,0
327680,5
327680,60
327680,114
327680,3
327680,8
327680,7
327680,26
327680,13
327680,22
327680,0
327680,1
327680,1
327680,265
327680,208
327680,20
327680,117
327680,8
327680,36
327680,47
327680,75
327680,48
327680,0
327680,22
327680,0
327680,6
327680,0
327680,53
327680,17
327680,18
327680,1
327680,73
327680,41
327680,0
327680,10
327680,0
327680,27
327680,1
327680,3
327680,3
327680,6
327680,0
327680,4
327680,4
327680,2
327680,124
