triangles,collisions
84028,4
84028,10
84028,0
84028,144
84028,17
84028,77
84028,0
84028,184
84028,28
84028,89
84028,23
84028,219
84028,79
84028,134
84028,431
84028,109
84028,18
84028,25
84028,3
84028,50
84028,250
84028,5523
84028,42
84028,108
84028,311
84028,33
84028,1851
84028,100
84028,434
84028,59
84028,70
84028,23
84028,285
84028,62
84028,4
84028,96
84028,96
84028,683
84028,123
84028,111
84028,71
84028,8
84028,69
84028,19
84028,29
84028,21
84028,527
84028,7
84028,215
84028,487
84028,490
84028,166
84028,197
84028,176
84028,196
84028,77
84028,68
84028,153
84028,118
84028,121
84028,93
84028,118
84028,85
84028,119
84028,45
84028,29
84028,127
84028,38
84028,53
84028,46
84028,8
84028,105
84028,19
84028,46
84028,125
84028,68
84028,10
84028,173
84028,241
84028,18
84028,56
84028,62
84028,128
84028,0
84028,54
84028,6
84028,58
84028,113
84028,83
84028,785
84028,208
84028,38
84028,137
84028,36
84028,103
84028,136
84028,29
84028,370
84028,1
84028,23
84028,253
84028,1
84028,175
84028,192
84028,254
84028,166
84028,119
