idx,f1,intersections,pial-traingles,white-traingles
0,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/200008_lh_pial_Df2.pial_converted.stl,7930,759936,759936
1,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/200109_lh_pial_Df2.pial_converted.stl,9422,759936,759936
2,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/200210_lh_pial_Df2.pial_converted.stl,11169,759936,759936
3,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/200311_lh_pial_Df2.pial_converted.stl,11540,759936,759936
4,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/200614_lh_pial_Df2.pial_converted.stl,16645,759936,759936
5,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/200917_lh_pial_Df2.pial_converted.stl,12635,759936,759936
6,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/201111_lh_pial_Df2.pial_converted.stl,9016,759936,759936
7,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/201414_lh_pial_Df2.pial_converted.stl,15309,759936,759936
8,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/201515_lh_pial_Df2.pial_converted.stl,9026,759936,759936
9,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/201717_lh_pial_Df2.pial_converted.stl,7940,759936,759936
10,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/201818_lh_pial_Df2.pial_converted.stl,11025,759936,759936
11,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/202113_lh_pial_Df2.pial_converted.stl,10746,759936,759936
12,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/202719_lh_pial_Df2.pial_converted.stl,9945,759936,759936
13,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/203418_lh_pial_Df2.pial_converted.stl,12693,759936,759936
14,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/203721_lh_pial_Df2.pial_converted.stl,12311,759936,759936
15,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/203923_lh_pial_Df2.pial_converted.stl,11119,759936,759936
16,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/204016_lh_pial_Df2.pial_converted.stl,10968,759936,759936
17,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/204319_lh_pial_Df2.pial_converted.stl,10531,759936,759936
18,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/204420_lh_pial_Df2.pial_converted.stl,14936,759936,759936
19,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/204521_lh_pial_Df2.pial_converted.stl,9560,759936,759936
20,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/204622_lh_pial_Df2.pial_converted.stl,11012,759936,759936
21,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/205119_lh_pial_Df2.pial_converted.stl,10679,759936,759936
22,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/205220_lh_pial_Df2.pial_converted.stl,8700,759936,759936
23,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/205725_lh_pial_Df2.pial_converted.stl,10038,759936,759936
24,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/205826_lh_pial_Df2.pial_converted.stl,12253,759936,759936
25,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/206222_lh_pial_Df2.pial_converted.stl,8843,759936,759936
26,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/207123_lh_pial_Df2.pial_converted.stl,8807,759936,759936
27,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/207426_lh_pial_Df2.pial_converted.stl,7447,759936,759936
28,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/207628_lh_pial_Df2.pial_converted.stl,9943,759936,759936
29,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/208024_lh_pial_Df2.pial_converted.stl,8887,759936,759936
30,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/208125_lh_pial_Df2.pial_converted.stl,14592,759936,759936
31,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/208226_lh_pial_Df2.pial_converted.stl,10189,759936,759936
32,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/208327_lh_pial_Df2.pial_converted.stl,10396,759936,759936
33,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/208428_lh_pial_Df2.pial_converted.stl,7887,759936,759936
34,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/209127_lh_pial_Df2.pial_converted.stl,9815,759936,759936
35,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/209228_lh_pial_Df2.pial_converted.stl,10787,759936,759936
36,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/209329_lh_pial_Df2.pial_converted.stl,15185,759936,759936
37,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/209834_lh_pial_Df2.pial_converted.stl,17587,759936,759936
38,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/209935_lh_pial_Df2.pial_converted.stl,10197,759936,759936
39,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/210011_lh_pial_Df2.pial_converted.stl,8589,759936,759936
40,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/210415_lh_pial_Df2.pial_converted.stl,12585,759936,759936
41,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/210617_lh_pial_Df2.pial_converted.stl,11138,759936,759936
42,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/211114_lh_pial_Df2.pial_converted.stl,12715,759936,759936
43,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/211215_lh_pial_Df2.pial_converted.stl,12085,759936,759936
44,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/211316_lh_pial_Df2.pial_converted.stl,9443,759936,759936
45,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/211417_lh_pial_Df2.pial_converted.stl,9212,759936,759936
46,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/211720_lh_pial_Df2.pial_converted.stl,9910,759936,759936
47,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/211922_lh_pial_Df2.pial_converted.stl,8986,759936,759936
48,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/212015_lh_pial_Df2.pial_converted.stl,8311,759936,759936
49,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/212116_lh_pial_Df2.pial_converted.stl,8899,759936,759936
50,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/212217_lh_pial_Df2.pial_converted.stl,10868,759936,759936
51,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/212318_lh_pial_Df2.pial_converted.stl,9357,759936,759936
52,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/212419_lh_pial_Df2.pial_converted.stl,9152,759936,759936
53,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/212823_lh_pial_Df2.pial_converted.stl,7706,759936,759936
54,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/213421_lh_pial_Df2.pial_converted.stl,13195,759936,759936
55,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/214019_lh_pial_Df2.pial_converted.stl,12434,759936,759936
56,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/214221_lh_pial_Df2.pial_converted.stl,12437,759936,759936
57,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/214423_lh_pial_Df2.pial_converted.stl,8222,759936,759936
58,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/214524_lh_pial_Df2.pial_converted.stl,7860,759936,759936
59,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/214625_lh_pial_Df2.pial_converted.stl,12999,759936,759936
60,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/214726_lh_pial_Df2.pial_converted.stl,10456,759936,759936
61,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/217126_lh_pial_Df2.pial_converted.stl,8915,759936,759936
62,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/217429_lh_pial_Df2.pial_converted.stl,17471,759936,759936
63,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/220721_lh_pial_Df2.pial_converted.stl,10475,759936,759936
64,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/221218_lh_pial_Df2.pial_converted.stl,19846,759936,759936
65,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/221319_lh_pial_Df2.pial_converted.stl,9624,759936,759936
66,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/223929_lh_pial_Df2.pial_converted.stl,8722,759936,759936
67,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/224022_lh_pial_Df2.pial_converted.stl,7792,759936,759936
68,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/227432_lh_pial_Df2.pial_converted.stl,10472,759936,759936
69,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/228434_lh_pial_Df2.pial_converted.stl,10770,759936,759936
70,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/231928_lh_pial_Df2.pial_converted.stl,15093,759936,759936
71,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/233326_lh_pial_Df2.pial_converted.stl,8874,759936,759936
72,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/236130_lh_pial_Df2.pial_converted.stl,8622,759936,759936
73,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/237334_lh_pial_Df2.pial_converted.stl,12311,759936,759936
74,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/239944_lh_pial_Df2.pial_converted.stl,8786,759936,759936
75,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/245333_lh_pial_Df2.pial_converted.stl,10582,759936,759936
76,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/246133_lh_pial_Df2.pial_converted.stl,14598,759936,759936
77,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/248339_lh_pial_Df2.pial_converted.stl,8994,759936,759936
78,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/249947_lh_pial_Df2.pial_converted.stl,10553,759936,759936
79,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/250427_lh_pial_Df2.pial_converted.stl,8915,759936,759936
80,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/250932_lh_pial_Df2.pial_converted.stl,10357,759936,759936
81,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/251833_lh_pial_Df2.pial_converted.stl,7491,759936,759936
82,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/255639_lh_pial_Df2.pial_converted.stl,12091,759936,759936
83,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/256540_lh_pial_Df2.pial_converted.stl,9798,759936,759936
84,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/257542_lh_pial_Df2.pial_converted.stl,9237,759936,759936
85,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/257845_lh_pial_Df2.pial_converted.stl,9096,759936,759936
86,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/263436_lh_pial_Df2.pial_converted.stl,11026,759936,759936
87,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/268749_lh_pial_Df2.pial_converted.stl,9626,759936,759936
88,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/268850_lh_pial_Df2.pial_converted.stl,12071,759936,759936
89,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/270332_lh_pial_Df2.pial_converted.stl,11218,759936,759936
90,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/275645_lh_pial_Df2.pial_converted.stl,9046,759936,759936
91,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/280739_lh_pial_Df2.pial_converted.stl,9568,759936,759936
92,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/280941_lh_pial_Df2.pial_converted.stl,8198,759936,759936
93,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/283543_lh_pial_Df2.pial_converted.stl,9598,759936,759936
94,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/284646_lh_pial_Df2.pial_converted.stl,8845,759936,759936
95,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/285345_lh_pial_Df2.pial_converted.stl,9473,759936,759936
96,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/285446_lh_pial_Df2.pial_converted.stl,9628,759936,759936
97,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/286650_lh_pial_Df2.pial_converted.stl,11257,759936,759936
98,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/287248_lh_pial_Df2.pial_converted.stl,10201,759936,759936
99,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/289555_lh_pial_Df2.pial_converted.stl,10782,759936,759936
100,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/290136_lh_pial_Df2.pial_converted.stl,8973,759936,759936
101,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/293748_lh_pial_Df2.pial_converted.stl,10825,759936,759936
102,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/295146_lh_pial_Df2.pial_converted.stl,13228,759936,759936
103,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/297655_lh_pial_Df2.pial_converted.stl,11862,759936,759936
104,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/298051_lh_pial_Df2.pial_converted.stl,9444,759936,759936
105,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/298455_lh_pial_Df2.pial_converted.stl,9780,759936,759936
106,/data/users2/llu13/output/corticalflow/cfpp/lh_pial/299154_lh_pial_Df2.pial_converted.stl,14529,759936,759936
