idx,f1,intersections,pial-traingles,white-traingles
0,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_200008.pial_converted.stl,8415,247632,247632
1,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_200109.pial_converted.stl,10412,264540,264540
2,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_200210.pial_converted.stl,7382,318096,318096
3,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_200311.pial_converted.stl,8793,258660,258660
4,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_200614.pial_converted.stl,9398,261560,261560
5,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_200917.pial_converted.stl,7515,265372,265372
6,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_201111.pial_converted.stl,9022,264384,264384
7,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_201414.pial_converted.stl,9558,242472,242472
8,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_201515.pial_converted.stl,10581,282712,282712
9,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_201717.pial_converted.stl,8205,284968,284968
10,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_201818.pial_converted.stl,8651,241848,241848
11,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_202113.pial_converted.stl,8624,280124,280124
12,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_202719.pial_converted.stl,8748,270620,270620
13,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_203418.pial_converted.stl,10152,252104,252104
14,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_203721.pial_converted.stl,8105,237640,237640
15,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_203923.pial_converted.stl,8666,273784,273784
16,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_204016.pial_converted.stl,8511,265680,265680
17,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_204319.pial_converted.stl,10594,287536,287536
18,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_204420.pial_converted.stl,8402,225404,225404
19,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_204521.pial_converted.stl,10497,227776,227776
20,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_204622.pial_converted.stl,7910,267872,267872
21,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_205119.pial_converted.stl,6569,277252,277252
22,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_205220.pial_converted.stl,9169,240340,240340
23,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_205725.pial_converted.stl,9956,221444,221444
24,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_205826.pial_converted.stl,9205,269332,269332
25,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_206222.pial_converted.stl,10265,279572,279572
26,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_207123.pial_converted.stl,8923,297004,297004
27,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_207426.pial_converted.stl,7795,245476,245476
28,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_207628.pial_converted.stl,9240,282936,282936
29,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_208024.pial_converted.stl,7459,228408,228408
30,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_208125.pial_converted.stl,8656,259764,259764
31,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_208226.pial_converted.stl,9636,248660,248660
32,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_208327.pial_converted.stl,9294,309644,309644
33,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_208428.pial_converted.stl,7556,202048,202048
34,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_209127.pial_converted.stl,9478,248264,248264
35,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_209228.pial_converted.stl,7920,265164,265164
36,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_209329.pial_converted.stl,10474,237336,237336
37,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_209834.pial_converted.stl,9321,229672,229672
38,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_209935.pial_converted.stl,8526,269552,269552
39,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_210011.pial_converted.stl,8197,269572,269572
40,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_210415.pial_converted.stl,7660,232484,232484
41,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_210617.pial_converted.stl,10924,283084,283084
42,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_211114.pial_converted.stl,8174,264600,264600
43,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_211215.pial_converted.stl,8962,304444,304444
44,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_211316.pial_converted.stl,7384,225560,225560
45,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_211417.pial_converted.stl,10109,254316,254316
46,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_211720.pial_converted.stl,8756,293184,293184
47,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_211922.pial_converted.stl,8326,259580,259580
48,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_212015.pial_converted.stl,7919,281580,281580
49,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_212116.pial_converted.stl,7897,247772,247772
50,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_212217.pial_converted.stl,9495,243956,243956
51,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_212318.pial_converted.stl,9799,235276,235276
52,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_212419.pial_converted.stl,7315,260444,260444
53,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_212823.pial_converted.stl,9643,274152,274152
54,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_213421.pial_converted.stl,12782,276808,276808
55,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_214019.pial_converted.stl,9346,237460,237460
56,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_214221.pial_converted.stl,11110,244768,244768
57,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_214423.pial_converted.stl,9472,322624,322624
58,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_214524.pial_converted.stl,9086,269652,269652
59,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_214625.pial_converted.stl,8216,264440,264440
60,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_214726.pial_converted.stl,10382,265708,265708
61,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_217126.pial_converted.stl,7845,254116,254116
62,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_217429.pial_converted.stl,7991,249968,249968
63,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_220721.pial_converted.stl,8102,271424,271424
64,/data/users2/llu13/output/cortexode/pred/lh_pial/adni_lh_221218.pial_converted.stl,7031,240320,240320
