idx,f1,intersections,pial-traingles,white-traingles
0,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/200008_epoch81_struc2_meshpred.ply,1506,84028,84028
1,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/200109_epoch81_struc2_meshpred.ply,1681,84028,84028
2,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/200210_epoch81_struc2_meshpred.ply,1392,84028,84028
3,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/200311_epoch81_struc2_meshpred.ply,1555,84028,84028
4,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/200614_epoch81_struc2_meshpred.ply,1573,84028,84028
5,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/200917_epoch81_struc2_meshpred.ply,1830,84028,84028
6,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/201111_epoch81_struc2_meshpred.ply,1691,84028,84028
7,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/201414_epoch81_struc2_meshpred.ply,1556,84028,84028
8,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/201515_epoch81_struc2_meshpred.ply,1486,84028,84028
9,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/201717_epoch81_struc2_meshpred.ply,1356,84028,84028
10,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/201818_epoch81_struc2_meshpred.ply,1863,84028,84028
11,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/202113_epoch81_struc2_meshpred.ply,1424,84028,84028
12,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/202719_epoch81_struc2_meshpred.ply,1410,84028,84028
13,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/203418_epoch81_struc2_meshpred.ply,1347,84028,84028
14,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/203721_epoch81_struc2_meshpred.ply,1504,84028,84028
15,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/203923_epoch81_struc2_meshpred.ply,1820,84028,84028
16,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/204016_epoch81_struc2_meshpred.ply,1194,84028,84028
17,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/204319_epoch81_struc2_meshpred.ply,1625,84028,84028
18,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/204420_epoch81_struc2_meshpred.ply,1468,84028,84028
19,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/204521_epoch81_struc2_meshpred.ply,1639,84028,84028
20,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/204622_epoch81_struc2_meshpred.ply,1087,84028,84028
21,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/205119_epoch81_struc2_meshpred.ply,8297,84028,84028
22,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/205220_epoch81_struc2_meshpred.ply,1630,84028,84028
23,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/205725_epoch81_struc2_meshpred.ply,1383,84028,84028
24,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/205826_epoch81_struc2_meshpred.ply,1772,84028,84028
25,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/206222_epoch81_struc2_meshpred.ply,1531,84028,84028
26,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/207123_epoch81_struc2_meshpred.ply,657,84028,84028
27,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/207426_epoch81_struc2_meshpred.ply,1406,84028,84028
28,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/207628_epoch81_struc2_meshpred.ply,1850,84028,84028
29,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/208024_epoch81_struc2_meshpred.ply,1255,84028,84028
30,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/208125_epoch81_struc2_meshpred.ply,1789,84028,84028
31,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/208226_epoch81_struc2_meshpred.ply,1747,84028,84028
32,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/208327_epoch81_struc2_meshpred.ply,1642,84028,84028
33,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/208428_epoch81_struc2_meshpred.ply,1280,84028,84028
34,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/209127_epoch81_struc2_meshpred.ply,1687,84028,84028
